username,categoria,subcategoria,prioridade
jairmessiasbolsonaro,nacional,ex-presidente,1
lulaoficial,nacional,presidente,1
guilhermeboulos.oficial,nacional,deputado_federal,2
nikolasferreiradm,nacional,deputado_federal,2
flaviobolsonaro,nacional,presidenciavel,1
lindberghfarias,nacional,deputado_federal,2
hilton_erika,nacional,deputada_federal,2
thiagofernandesrn,estadual_local,deputado_estadual,4
marleidecunharn,estadual_local,vereadora,5
vereadorarhalessarn,estadual_local,vereadora,5
professordiegoamerico,estadual_local,vereador,5
vereadoriraniguedes,estadual_local,vereador,5
michaelborgesrn,estadual_local,vereador,5
vereadoreuricodajapao,estadual_local,vereador,5
